name,country,region,winery,rating,price,year,variety
Zinfandel ,United States,California,Geyser Peak,3.7,10.9,2016,Zinfandel
Valpolicella Ripasso Classico Superiore ,Italy,Valpolicella Ripasso Classico,Bolla,3.7,15.5,2017,Valpolicella Ripasso Classico Superiore
Rosso di Montalcino ,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,26.5,2015,Rosso
RipanÃ§o Private Selection Alentejano ,Portugal,Alentejano,JosÃ© Maria da Fonseca,3.7,8.6,2016,RipanÃ§o Private Selection Alentejano
Riserva Cannonau di Sardegna ,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,10.66,2017,Riserva Cannonau di Sardegna
 Sessantanni Old Vines Primitivo di Manduria ,Italy,Primitivo di Manduria,San Marzano,4.4,17.24,2016,Primitivo
Kith & Kin Cabernet Sauvignon ,United States,Napa Valley,Round Pond Estate,4.2,38.5,2017,Cabernet Sauvignon
Zinfandel ,United States,California,Rombauer Vineyards,4.3,34.12,2017,Zinfandel
Cerro AÃ±on Rioja Gran Reserva ,Spain,Rioja,Bodegas Olarra,4.1,14.65,2011,Cerro AÃ±on Rioja Gran Reserva
Bush Vine GSM (Shiraz - Grenache - Mourvedre) ,Australia,McLaren Vale,Geoff Merrill,4.0,14.57,2013,Bush Vine GSM (Shiraz - Grenache - Mourvedre)
Plaer Vinyes Velles ,Spain,Priorat,Acustic Celler,4.1,26.18,2016,Plaer Vinyes Velles
Cabernet - Shiraz ,Spain,La Mancha,AÃ±oranza,3.4,3.95,2016,Cabernet
Saint-Ãmilion Grand Cru ,France,Saint-Ãmilion Grand Cru,ChÃ¢teau La Confession,3.9,26.9,2014,Saint-Ãmilion Grand Cru
Comte de SÃ©nÃ©jac Haut-MÃ©doc ,France,Haut-MÃ©doc,ChÃ¢teau SÃ©nÃ©jac,3.7,16.83,2011,Haut
Gran Masetto Teroldego ,Italy,Trentino,Endrizzi,4.4,39.9,2014,Gran Masetto Teroldego
Barolo Mariondino ,Italy,Barolo,Parusso,4.1,39.9,2015,Barolo Mariondino
Crianza ,Spain,Rioja,Berceo,3.6,9.9,2016,Crianza
Apogee Pepper Bridge Vineyard ,United States,Walla Walla Valley,L'Ecole No 41,4.1,46.9,2013,Apogee Pepper Bridge Vineyard
Gamma Red Blend ,Spain,Navarra,Bodegas Piedemonte,3.4,6.15,2018,Red Blend
Peyres Nobles Rouge ,France,CorbiÃ¨res,ChÃ¢teau Camplong,4.0,6.5,2018,Peyres Nobles Rouge
Lemartine Toscana ,Italy,Toscana,Poggio Antico,4.1,29.67,2015,Lemartine Toscana
Organic Cabernet ,Australia,South Australia,Farm Hand,3.7,7.79,2018,Cabernet
Pomerol ,France,Pomerol,ChÃ¢teau NÃ©nin,4.1,240.0,1999,Pomerol
Malterdinger Alte Reben SpÃ¤tburgunder ,Germany,Baden,Bernhard Huber,4.1,38.69,2016,Malterdinger Alte Reben SpÃ¤tburgunder
Cabernet Franc ,South Africa,Franschhoek,Anthonij Rupert,4.2,59.95,2012,Cabernet Franc
Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©) ,France,Saint-Ãmilion Grand Cru,ChÃ¢teau Valandraud,4.4,193.02,2002,Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©)
Bramare Rebon Vineyard Malbec ,Argentina,Mendoza,ViÃ±a Cobos,4.6,75.07,2017,Malbec
Merlot Reserva ,Brazil,Vale dos Vinhedos,Pizzato,3.2,15.9,2008,Merlot Reserva
Brunello di Montalcino Pianrosso ,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,66.29,2015,Brunello di Montalcino Pianrosso
FranÃ§ois de Tournon Saint-Joseph ,France,Saint-Joseph,Delas,3.9,29.15,2016,FranÃ§ois de Tournon Saint-Joseph
Estibals Minervois ,France,Minervois,L'Ostal Cazes,3.6,10.99,2018,Estibals Minervois
Barbera - Garnacha ,Chile,Maule Valley,Erasmo,3.5,12.62,2017,Barbera
Roi des LÃ©zards ,France,CÃ´tes Catalanes,Domaine Les Enfants Sauvages,3.9,19.4,2014,Roi des LÃ©zards
One Point Five Cabernet Sauvignon ,United States,Stags Leap District,Shafer,4.5,120.01,2016,Cabernet Sauvignon
Barbaresco ,Italy,Barbaresco,Gaja,4.4,199.9,2013,Barbaresco
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau Branaire-Ducru,3.9,59.54,2006,Saint-Julien (Grand Cru ClassÃ©)
MÃ©doc ,France,MÃ©doc,ChÃ¢teau Potensac,3.8,39.69,2012,MÃ©doc
Pieve Santa Restituta Brunello di Montalcino ,Italy,Brunello di Montalcino,Gaja,4.3,59.9,2014,Pieve Santa Restituta Brunello di Montalcino
Gran Maestro Primitivo di Manduria ,Italy,Primitivo di Manduria,Maestro Italiano,4.1,9.75,2017,Primitivo
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau LÃ©oville Barton,4.2,87.24,2011,Saint-Julien (Grand Cru ClassÃ©)
Inferno (Aged in Whiskey Barrels - Limited Release) ,United States,California,Apothic,3.8,14.56,2017,Inferno (Aged in Whiskey Barrels - Limited Release)
Pessac-LÃ©ognan (Grand Cru ClassÃ© de Graves) ,France,Pessac-LÃ©ognan,ChÃ¢teau Pape ClÃ©ment,4.3,161.1,2007,Pessac-LÃ©ognan (Grand Cru ClassÃ© de Graves)
Faithful Hound Red ,South Africa,Stellenbosch,Mulderbosch,4.0,14.9,2015,Faithful Hound Red
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico ,Italy,Amarone della Valpolicella,Masi,4.3,69.0,2012,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico
Rosso di Montalcino ,Italy,Rosso di Montalcino,Talenti,3.7,14.43,2018,Rosso
Chianti ,Italy,Chianti,Sammontana,3.7,8.9,2017,Chianti
Azul ,Spain,Ribera del Queiles,Guelbenzu,3.8,6.99,2015,Azul
Sanct Valentin Riserva Pinot Noir ,Italy,SÃ¼dtirol - Alto Adige,St. Michael-Eppan,4.1,33.2,2017,Pinot Noir
Mas Collet Barrica ,Spain,Montsant,CapÃ§anes,3.5,21.91,2009,Mas Collet Barrica
Valpolicella Ripasso Classico Superiore ,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,16.9,2016,Valpolicella Ripasso Classico Superiore
Toscana Poggio Ai Merli ,Italy,Toscana,Castellare,4.3,69.0,2016,Toscana Poggio Ai Merli
ViÃ±a Aljibes Red Blend ,Spain,Castilla,Finca Los Aljibes,3.4,8.2,2016,Red Blend
ChÃ¢teauneuf-du-Pape (La Crau) ,France,ChÃ¢teauneuf-du-Pape,Domaine du Vieux TÃ©lÃ©graphe,4.4,79.95,2017,ChÃ¢teauneuf-du-Pape (La Crau)
ChÃ¢teauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge ,France,ChÃ¢teauneuf-du-Pape,Pierre Amadieu,4.0,26.23,2015,ChÃ¢teauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge
Mencia ,Spain,Valdeorras,ViÃ±a Costeira,3.2,8.28,2015,Mencia
Santenay Clos de Malte ,France,Santenay,Louis Jadot,4.1,32.0,2016,Santenay Clos de Malte
SudisfÃ  Roero Riserva ,Italy,Roero,Negro Angelo,4.1,29.9,2015,SudisfÃ  Roero Riserva
LÃ©a Les Aspres CÃ´tes du Roussillon Rouge ,France,CÃ´tes du Roussillon,Domaine Lafage,4.0,19.95,2012,LÃ©a Les Aspres CÃ´tes du Roussillon Rouge
Alleanza ,Italy,Toscana,Castello di Gabbiano,4.1,26.95,2012,Alleanza
Valpolicella Ripasso Classico Superiore Solane ,Italy,Valpolicella Ripasso,Santi,3.7,14.75,2015,Valpolicella Ripasso Classico Superiore Solane
Crianza ,Spain,Binissalem-Mallorca,Bodegas JosÃ© L. Ferrer,3.8,11.95,2015,Crianza
Courela Tinto ,Portugal,Alentejano,Cortes de Cima,3.6,5.65,2016,Tinto
Barbera d'Alba Tre Vigne ,Italy,Barbera d'Alba,Vietti,3.8,19.5,2015,Barbera
No Name ,Italy,Piemonte,Borgogno,4.0,34.32,2014,No Name
Rioja BordÃ³n Reserva ,Spain,Rioja,Franco-Espanolas,3.8,10.85,2011,Rioja BordÃ³n Reserva
Pian delle Vigne Brunello di Montalcino ,Italy,Brunello di Montalcino,Antinori,4.3,45.6,2014,Pian delle Vigne Brunello di Montalcino
AlmirÃ©z ,Spain,Toro,Teso La Monja,4.0,14.95,2016,AlmirÃ©z
Colheita Seleccionada Rouge ,Portugal,Alentejano,Rapariga da Quinta,3.2,11.7,2010,Colheita Seleccionada Rouge
Ammasso Rosso Sicilia ,Italy,Sicilia,Barone Montalto,4.2,16.34,2016,Rosso
CÃ´tes du RhÃ´ne Nature Rouge ,France,CÃ´tes-du-RhÃ´ne,Famille Perrin,3.6,10.45,2016,CÃ´tes du RhÃ´ne Nature Rouge
Russian River Valley Zinfandel ,United States,Russian River Valley,DeLoach,3.5,18.49,2015,Zinfandel
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau LÃ©oville Las Cases,4.6,330.45,2016,Saint-Julien (Grand Cru ClassÃ©)
Halkidiki Limnio - Merlot ,Greece,Chalkidiki,Tsantali,3.2,12.49,2013,Halkidiki Limnio - Merlot
Pomerol ,France,Pomerol,ChÃ¢teau l'Ecuyer,4.2,43.16,2015,Pomerol
Toar Valpolicella Classico Superiore ,Italy,Valpolicella Classico,Masi,3.7,15.6,2016,Toar Valpolicella Classico Superiore
ArbÃ²re Cannonau di Sardegna ,Italy,Cannonau di Sardegna,Gabbas,4.0,21.9,2012,ArbÃ²re Cannonau di Sardegna
Ãngeles de Amaren Tempranillo - Graciano ,Spain,Rioja,Bodegas Amaren,4.2,15.95,2015,Graciano
Barbera ,Italy,Piemonte,Serre dei Roveri,3.3,6.15,2018,Barbera
Amarone della Valpolicella ,Italy,Amarone della Valpolicella,ZÃ½mÄ,4.5,96.9,2006,Amarone della Valpolicella
Castillo de Jumilla Monastrell - Tempranillo ,Spain,Jumilla,Bleda,3.5,5.33,2018,Castillo de Jumilla Monastrell - Tempranillo
Hommage Lirac ,France,Lirac,Domaine Coudoulis,3.9,19.01,2016,Hommage Lirac
Poggio d'Arna Toscana ,Italy,Toscana,Tenuta di Sesta,3.6,12.9,2014,Poggio d'Arna Toscana
Vinya Le Havre Reserva Cabernet Sauvignon ,Spain,PenedÃ¨s,Jean Leon,4.0,25.75,2013,Cabernet Sauvignon
Brunello di Montalcino ,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,32.75,2014,Brunello di Montalcino
Sor Ugo Bolgheri Superiore ,Italy,Bolgheri Superiore,Aia Vecchia,4.3,23.94,2017,Sor Ugo Bolgheri Superiore
Ses Nines Negre ,Spain,Binissalem-Mallorca,Tianna Negre,3.8,11.25,2018,Ses Nines Negre
Terrassen Zweigelt Blauer ,Austria,Wachau,DomÃ¤ne Wachau,3.7,9.95,2018,Terrassen Zweigelt Blauer
Rosso di Montalcino ,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,16.47,2018,Rosso
Riva Ranch Pinot Noir (Reliz Creek) ,United States,Arroyo Seco,Wente,3.9,24.15,2017,Pinot Noir
Altos R Tempranillo ,Spain,Rioja,Altos de Rioja,3.4,6.9,2017,Altos R Tempranillo
Amarone della Valpolicella Classico ,Italy,Amarone della Valpolicella Classico,Zenato,4.2,43.61,2016,Amarone della Valpolicella Classico
Potenti Toscana (Suvereto) ,Italy,Toscana,Petra,3.9,39.58,2015,Potenti Toscana (Suvereto)
Trentatre ,Italy,Salento,Rocca,3.6,6.95,2017,Trentatre
Pievasciata Rosso ,Italy,Toscana,Vallepicciola,4.1,14.9,2016,Rosso
Brunello di Montalcino ,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,35.5,2013,Brunello di Montalcino
The Barossan Shiraz ,Australia,Barossa Valley,Peter Lehmann,3.8,16.48,2017,The Barossan Shiraz
Nero d'Avola ,Italy,Terre Siciliane,Colosi,3.8,8.68,2017,Nero
Bordeaux ,France,Bordeaux,Jean-Pierre Moueix,3.5,10.21,2015,Bordeaux
Cabernet Sauvignon ,United States,California,Woodbridge by Robert Mondavi,3.4,8.95,2018,Cabernet Sauvignon
Tinto ,Portugal,Lisboa,Porta 6,3.7,9.12,2018,Tinto
DÃ©licate N.V.,South Africa,Stellenbosch,De Toren,4.1,14.38,N.V.,DÃ©licate N.V.
Aglianico Rubrato ,Italy,Irpinia,Feudi di San Gregorio,3.5,10.95,2014,Aglianico Rubrato
Gran Verano Cabernet Sauvignon ,Chile,Central Valley,Apaltagua,3.4,6.95,2018,Cabernet Sauvignon
Grand Estates Merlot ,United States,Columbia Valley,Columbia Crest,3.7,12.4,2015,Grand Estates Merlot
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau Beychevelle,4.0,86.76,2017,Saint-Julien (Grand Cru ClassÃ©)
Copa Santa La MÃ©janelle ,France,Languedoc,Clavel,4.0,17.9,2015,Copa Santa La MÃ©janelle
Cantodoro ,Italy,Sicilia,Feudo Arancio,3.6,8.5,2016,Cantodoro
Vitiano San Lorenzo ,Italy,Castel San Lorenzo,Falesco,3.9,11.95,2014,Vitiano San Lorenzo
Disueri Nero d'Avola ,Italy,Sicilia,Cusumano,3.6,7.7,2018,Nero
Kirschgarten Spatburgunder GG ,Germany,Pfalz,Knipser,4.2,39.95,2013,Kirschgarten Spatburgunder GG
B ,Spain,Ribera del Duero,Baden Numen,3.8,11.21,2017,B
Pinot Noir ,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,22.5,2017,Pinot Noir
Protocolo Tinto ,Spain,Castilla,Dominio de Eguren,3.7,5.95,2018,Tinto
Rouge ,France,Bordeaux,Bad Boy (Mauvais GarÃ§on),3.9,16.9,2016,Rouge
CÃ´te de Nuits Villages Le Vaucrain ,France,CÃ´te de Nuits Villages,Louis Jadot,4.0,32.0,2016,CÃ´te de Nuits Villages Le Vaucrain
Vino Nobile di Montepulciano ,Italy,Vino Nobile di Montepulciano,Talosa,3.9,17.79,2016,Vino Nobile di Montepulciano
Yotuel SelecciÃ³n ,Spain,Ribera del Duero,Gallego Zapatero,3.6,15.75,2014,Yotuel SelecciÃ³n
Lanzaga Rioja ,Spain,Rioja,Telmo Rodriguez,3.8,19.95,2014,Lanzaga Rioja
Elysian Collection Merlot ,United States,California,Bonterra,3.8,26.7,2016,Elysian Collection Merlot
La Tiare du Pape ChÃ¢teauneuf-du-Pape Rouge ,France,ChÃ¢teauneuf-du-Pape,Maison Bouachon,3.9,45.0,2015,La Tiare du Pape ChÃ¢teauneuf-du-Pape Rouge
SpÃ¤tburgunder Trocken ,Germany,Pfalz,Ãkonomierat Rebholz,3.9,21.4,2015,SpÃ¤tburgunder Trocken
El Chocolatero CariÃ±ena ,Spain,CariÃ±ena,San Valero,3.2,7.75,2014,El Chocolatero CariÃ±ena
Hermitage La Chapelle Rouge ,France,Hermitage,Paul Jaboulet AÃ®nÃ©,4.3,249.95,2016,Hermitage La Chapelle Rouge
Mas Oliveras Tempranillo ,Spain,Catalunya,RamÃ³n Roqueta,3.2,6.5,2018,Mas Oliveras Tempranillo
Pannobile ,Austria,Burgenland,Pittnauer,3.9,22.13,2015,Pannobile
Tempus ,Italy,Veneto,Stefano Accordini,3.8,10.42,2018,Tempus
Le Clos des FÃ©es (HervÃ© Bizeul) ,France,CÃ´tes du Roussillon,Domaine du Clos des FÃ©es,4.1,52.53,2013,Le Clos des FÃ©es (HervÃ© Bizeul)
TÃ­o MartÃ­n Crianza ,Spain,Rioja,D. Mateos,3.8,15.69,2016,Crianza
Vigna Del Mandorlo Dolcetto d'Alba ,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,11.5,2017,Vigna Del Mandorlo Dolcetto d'Alba
Barolo Bussia ,Italy,Barolo,Prunotto,4.1,69.0,2015,Barolo Bussia
Tinto ,Spain,Rioja,Gran Familia,3.5,5.8,2015,Tinto
Finca Cuesta Clara Raro Reserva ,Spain,Rioja,Campillo,4.2,39.99,2015,Finca Cuesta Clara Raro Reserva
Fronsac ,France,Fronsac,ChÃ¢teau la Vieille Cure,4.0,39.95,2005,Fronsac
Ventoux ,France,Ventoux,Xavier Vignon,3.6,8.2,2016,Ventoux
Hussonet Cabernet Sauvignon Gran Reserva ,Chile,Maipo Valley,Haras de Pirque,3.7,15.95,2015,Cabernet Sauvignon
Salice Salentino Riserva ,Italy,Salice Salentino,Marchese di Borgosole,3.9,8.49,2016,Salice Salentino Riserva
Chianti Classico ,Italy,Chianti Classico,Isole e Olena,3.9,20.86,2016,Chianti
